index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
39,11,խմիչքների արտադրություն,China,,,,,,,,,,,7.5,7.5,37.1,37.1,168.7,169,63.9,63.9,28.2,28.2
40,11,խմիչքների արտադրություն,Cyprus,,,,,,,,,,,,,,,2.2,,,,,
41,11,խմիչքների արտադրություն,France,2339.6,2308,5911,5748.2,6451.6,6232.7,11293.2,11072.8,2092.9,1910.7,1317.4,1413.7,1.5,12.3,1102.8,994.1,1840.8,1441.5,4121.8,4121.8
42,11,խմիչքների արտադրություն,Luxembourg,6415.2,8228.2,1101,1437.8,1257.2,422.8,1593.2,1719.8,830.8,584.9,2838.3,1287.2,3666,2124.4,2806.5,2393,5633.2,125.2,9365.2,9365.2
43,11,խմիչքների արտադրություն,Russian Federation,,,,,,,,,,,,,,,2.6,,322.5,0.7,,
44,11,խմիչքների արտադրություն,Saudi Arabia,,,,,,,,,,,,,,,,,,,1366.6,
45,11,խմիչքների արտադրություն,United Kingdom,11118.4,11093.5,3701.6,3442.1,900,1219.4,240.6,234.2,664.4,650.4,297.5,297.5,146.7,146.7,675.3,675.3,290.2,290.2,342.6,342.6
46,11,խմիչքների արտադրություն,United States,377.9,316.4,,,,,,,,,,,,,,,,,,
47,11,խմիչքների արտադրություն,Other countries,,,,,,,,,,,,,,,,,,,327.5,
48,12,manufacture of tobacco products,Canada,1232.4,211.7,2789.5,2123.3,6922.1,,3425.3,,2544.7,,1108.2,,181.6,,10341.7,,7090.9,,,
49,12,manufacture of tobacco products,Germany,,,,,,,,,,,,,,,,,,,50.5,
50,12,manufacture of tobacco products,Greece,,,,,,,,,,,,,,,,,,,123.4,
51,12,manufacture of tobacco products,Switzerland,,,,,,,,,,,,,,,,,,,36.5,
52,12,manufacture of tobacco products,United Arab Emirates,,,,,,,,,,,,,,,,,,,2595,
53,12,manufacture of tobacco products,Other countries,,,,,,,,,,,,,,,,,,,1617.1,
54,14,հագուստի արտադրություն,Germany,90.1,27.5,195,11.7,435,98.9,165.3,-0.8,,,,,,,,,,,,
55,14,հագուստի արտադրություն,Netherlands,,,,,31.1,30.4,9.5,8.9,,,,,,,,,,,,
56,14,հագուստի արտադրություն,Poland,423.2,423.2,,,,,,,,,,,,,,,,,,
57,14,հագուստի արտադրություն,Russian Federation,,,31.4,8.6,128.7,123.5,28.2,,,,,,,,,,,,,
58,14,հագուստի արտադրություն,Other countries,,,,,,,,,,,,,,,,,,,838.8,
59,15,"կաշվի, կաշվե արտադրատեսակների արտադրություն",Russian Federation,3.1,3.1,1.7,1.7,2.8,2.8,2.2,2.2,3.3,3.3,2.6,2.6,0.8,0.8,3.2,3.2,2.7,2.7,,
60,17,թղթի և թղթե արտադրատեսակների արտադրություն,Other countries,,,,,,,,,,,,,,,,,,,3847.2,
61,20,քիմիական նյութերի և քիմիական արտադրատեսակների արտադրություն,Canada,,,,,,,,,,,,,,,,,,,448.6,448.6
62,20,քիմիական նյութերի և քիմիական արտադրատեսակների արտադրություն,Italy,,,1190.4,1190.4,211.3,211.3,563.6,563.6,,,174.9,174.9,147.4,147.4,,,66.6,66.6,312.2,312.2
63,21,հիմնական դեղագործական արտադրանքի և պատրաստուկների արտադրություն,International organizations,,,,,,,,,,,238,238,,,,,,,,
64,21,հիմնական դեղագործական արտադրանքի և պատրաստուկների արտադրություն,Russian Federation,496.8,496.8,6114.6,6114.6,,,,,,,,,,,1133.6,1133.6,0.5,0.5,0.6,0.6
65,21,հիմնական դեղագործական արտադրանքի և պատրաստուկների արտադրություն,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,100.8,100.8
66,21,հիմնական դեղագործական արտադրանքի և պատրաստուկների արտադրություն,United Kingdom,,,456,,,,,,,,,,,,,,,,,
67,23,այլ ոչ մետաղական հանքային արտադրատեսակների արտադրություն,International organizations,,,4.1,,383.6,,590.3,,,,600.4,,148.7,,479.5,,613.8,,975.9,
68,23,այլ ոչ մետաղական հանքային արտադրատեսակների արտադրություն,United Arab Emirates,,,,,,,,,,,,,,,22.2,,,,,
69,23,այլ ոչ մետաղական հանքային արտադրատեսակների արտադրություն,Other countries,,,,,,,,,619.9,619.9,,,244.7,244.7,82.6,82.6,142.8,142.8,35.4,172.1
70,24,հիմնական մետաղների արտադրություն,Cyprus,9368.8,7136.8,2263.7,4984.5,8412.7,259.2,605.6,316.5,397.2,78.6,6.8,168.5,1225.9,1047.1,2721.2,6515,1864,1235.5,3316.4,3316.4
71,24,հիմնական մետաղների արտադրություն,Germany,8927.6,7542,14740.2,15147.2,5782.3,6798.2,3471.2,3471.2,4160.5,4160.5,2047.7,2047.7,8809.3,8809.3,5282.8,5282.8,5176.1,5176.1,9366.7,9366.7
72,24,հիմնական մետաղների արտադրություն,Russian Federation,35.2,44.9,1579.1,1577.2,12711.6,2314.3,2284.6,1653.2,4606.9,2375.7,12308.7,7903.8,,,,,,,,
73,24,հիմնական մետաղների արտադրություն,United Kingdom,36.8,39.5,43419.5,41526.2,2079,1057.9,1085.2,1414.1,3334.8,122.8,3490.9,1243.5,4125.2,1240.6,6610.7,5349.6,5667.7,479.6,3966.3,3966.3
74,24,հիմնական մետաղների արտադրություն,United States,,,,,,,,,,,,,,,,,,,3563.6,3563.6
75,24,հիմնական մետաղների արտադրություն,Other countries,,,,,,,,,,,,,,,,,,,2782,
76,25,"պատրաստի մետաղե արտադրատեսակների արտադրություն, բացի մեքենաներից և սարքավորանքից",Lebanon,,,,,,,,,,,1.7,1.7,31.7,31.7,17.1,17.1,16.3,16.3,67.7,67.7
77,26,"համակարգիչների, էլեկտրոնային և օպտիկական սարքավորանքի արտադրություն",Russian Federation,362.8,362.8,245,245,354.8,354.8,107.8,107.8,94,94,59.7,59.7,76.4,76.4,88.2,88.2,-0.2,-0.2,38.1,38.1
78,26,"համակարգիչների, էլեկտրոնային և օպտիկական սարքավորանքի արտադրություն",United States,143,143,350.9,350.9,536.4,536.4,51.8,51.8,,,,,,,,,,,,
79,27,էլեկտրական սարքավորանքի արտադրություն,Germany,,,,,,,,,,,,,,,,,,,9.1,
80,27,էլեկտրական սարքավորանքի արտադրություն,Russian Federation,55.8,55.8,56.9,56.9,50.9,50.9,46.6,46.6,9.9,9.9,7.9,7.9,3.9,3.9,1.7,1.7,58.8,58.8,,
81,27,էլեկտրական սարքավորանքի արտադրություն,United Arab Emirates,300,364.8,39.3,,4,20.5,28.5,17.1,14.3,6.4,88.8,88.8,246.3,227.4,229,208.3,145.8,143.4,104.1,112.7
82,28,"մեքենաների և սարքավորանքի արտադրություն, չներառված ուրիշ խմբավորումներում",Germany,,,,,,,,,,,,,,,,,,,1990.5,
83,28,"մեքենաների և սարքավորանքի արտադրություն, չներառված ուրիշ խմբավորումներում",Russian Federation,67.8,67.8,47.1,47.1,108.5,108.5,79.1,79.1,55,55,24.3,24.3,205.2,205.2,37.2,37.2,612.7,612.7,,
84,32,"արտադրատեսակների արտադրություն, չներառված ուրիշ խմբավորումներում  ",Belgium,14.3,,53.5,1.6,23.2,4,53.3,3.8,38.5,18,34.4,11.5,11.6,7.4,2,1.5,15.1,5.9,3.8,3.8
85,32,"արտադրատեսակների արտադրություն, չներառված ուրիշ խմբավորումներում  ",India,,,,,,,,,,,,,,,,,,,551,551
86,32,"արտադրատեսակների արտադրություն, չներառված ուրիշ խմբավորումներում  ",Russian Federation,48.8,,26.7,,343.9,,2.5,3.6,67.6,65,246,234.2,81.2,79.7,230.8,232.1,591,592.9,-0.3,-0.3
