,type_of_activity,code,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
35,other mining and quarrying,8,11641.6,17685.2,56548.200000000004,57991.9,19938.500000000004,7347.700000000001,2707.8,13109.699999999999,36291.899999999994,11131.400000000001,13669.1,2213.2,34.6,34.6,1879.1,1091.7,459.5,584.3,290.2,543.1
36,other personal service activities,96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.5,42.2,43.3,35.5,65.7,37.6,96.3,78.5,43.5,24.9,822.2,790.5
37,"other professional, scientific and technical activities",74,296.3,226.8,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.1,79.1,88.6,88.6,23.3,23.3,0.0,0.0
38,paper and cardboard production,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3847.2,0.0
39,real estate activities,68,10948.5,10948.5,6374.2,6374.2,9063.0,9063.0,11644.3,9723.9,15403.5,13826.0,16948.8,9526.1,12011.800000000001,10649.400000000001,17994.1,16631.7,65551.9,32608.100000000002,6601.7,7333.3
40,repair and installation of machinery and equipment,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.4,0.0,235.7,0.0
41,"retail trade, except of motor vehicles and motorcycles",47,126.7,74.0,14813.800000000001,88.7,3073.9,298.20000000000005,1390.5,721.4000000000001,2893.7,1274.6999999999998,2975.4,869.5,774.5999999999999,329.4,1126.1,186.10000000000002,1155.8999999999999,1046.8,12419.5,2913.2999999999997
42,scientific research and development,72,129.6,129.6,126.7,126.7,13.5,13.5,9.1,9.1,1334.2,1334.2,999.0,840.1999999999999,2009.1,1894.4,1488.6999999999998,1515.1999999999998,1508.0,1468.1,1037.3000000000002,1036.3000000000002
43,services to buildings and landscape activities,81,30.7,30.7,1180.0,1180.0,860.4,860.4,548.3,548.3,1307.7,1307.7,218.6,218.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,sports activities and amusement and recreation activities,93,1194.0,718.7,716.5,216.4,261.3,0.0,529.3000000000001,5.2,159.6,30.3,13.2,13.2,428.4,428.4,98.8,98.8,83.3,83.3,309.8,309.8
45,telecommunications,61,18905.1,12588.400000000001,55840.2,54966.6,36269.99999999999,19373.199999999997,9585.6,13805.400000000001,11869.6,5965.700000000001,14504.4,11765.5,52833.4,51450.899999999994,6555.5,2429.8,20322.600000000002,6107.700000000001,76382.0,4898.9
46,"travel agency, tour operator and other rezervation service and related activities",79,0.1,0.1,10.1,10.1,0.0,0.0,13.6,13.6,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,31.1,31.1,63.5,63.5
47,warehousing and support activities for transportation,52,62.10000000000001,61.2,46.1,45.800000000000004,1.1,1.8,0.1,0.0,12.3,8.3,1.4,0.0,0.0,0.0,610.9,610.9,2957.4,2957.4,5462.1,5462.1
48,"water collection, treament and supply",36,305.9,305.9,1739.4,1739.4,2827.7,2827.7,4953.0,4953.0,6155.6,6155.6,2615.5,2615.5,2037.3,2037.3,2104.5,2104.5,3496.9,3496.9,5070.4,5070.4
49,wholesale and retail trade and repair of motor vehicles and motorcycles,45,85.89999999999999,85.89999999999999,76.8,76.8,0.0,0.0,0.1,0.1,7.8,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"wholesale, trade, except of motor vehicles and motorcycles",46,2331.6000000000004,1127.7,4405.6,1368.0,1036.5,1947.8,4444.8,4601.7,5231.9,4078.2999999999997,5656.500000000001,5224.700000000001,8230.2,5687.5,4116.7,6808.899999999999,10032.600000000002,5568.0,13828.9,4787.299999999999
