,index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
61,62,20,manufacture of chemicals and chemical products,Italy,,,1190.4,1190.4,211.3,211.3,563.6,563.6,,,174.9,174.9,147.4,147.4,,,66.6,66.6,312.2,312.2
62,63,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,International organizations,,,,,,,,,,,238,238,,,,,,,,
63,64,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,Russian Federation,496.8,496.8,6114.6,6114.6,,,,,,,,,,,1133.6,1133.6,0.5,0.5,0.6,0.6
64,65,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,100.8,100.8
65,66,21,manufacture of basic pharmaceutical products and pharmaceutical preparations,United Kingdom,,,456,,,,,,,,,,,,,,,,,
66,67,23,manufacture of other non-metallic mineral products,International organizations,,,4.1,,383.6,,590.3,,,,600.4,,148.7,,479.5,,613.8,,975.9,
67,68,23,manufacture of other non-metallic mineral products,United Arab Emirates,,,,,,,,,,,,,,,22.2,,,,,
68,69,23,manufacture of other non-metallic mineral products,Other countries,,,,,,,,,619.9,619.9,,,244.7,244.7,82.6,82.6,142.8,142.8,35.4,172.1
69,70,24,manufacture of  basic metals,Cyprus,9368.8,7136.8,2263.7,4984.5,8412.7,259.2,605.6,316.5,397.2,78.6,6.8,168.5,1225.9,1047.1,2721.2,6515,1864,1235.5,3316.4,3316.4
70,71,24,manufacture of  basic metals,Germany,8927.6,7542,14740.2,15147.2,5782.3,6798.2,3471.2,3471.2,4160.5,4160.5,2047.7,2047.7,8809.3,8809.3,5282.8,5282.8,5176.1,5176.1,9366.7,9366.7
71,72,24,manufacture of  basic metals,Russian Federation,35.2,44.9,1579.1,1577.2,12711.6,2314.3,2284.6,1653.2,4606.9,2375.7,12308.7,7903.8,,,,,,,,
72,73,24,manufacture of  basic metals,United Kingdom,36.8,39.5,43419.5,41526.2,2079,1057.9,1085.2,1414.1,3334.8,122.8,3490.9,1243.5,4125.2,1240.6,6610.7,5349.6,5667.7,479.6,3966.3,3966.3
73,74,24,manufacture of  basic metals,United States,,,,,,,,,,,,,,,,,,,3563.6,3563.6
74,75,24,manufacture of  basic metals,Other countries,,,,,,,,,,,,,,,,,,,2782,
75,76,25,"manufacture of fabricated metal products, except machinery and equipment",Lebanon,,,,,,,,,,,1.7,1.7,31.7,31.7,17.1,17.1,16.3,16.3,67.7,67.7
76,77,26,"manufacture of computer, electronic and optical products",Russian Federation,362.8,362.8,245,245,354.8,354.8,107.8,107.8,94,94,59.7,59.7,76.4,76.4,88.2,88.2,0.2,0.2,38.1,38.1
77,78,26,"manufacture of computer, electronic and optical products",United States,143,143,350.9,350.9,536.4,536.4,51.8,51.8,,,,,,,,,,,,
78,79,27,manufacture of electrical equipment,Germany,,,,,,,,,,,,,,,,,,,9.1,
79,80,27,manufacture of electrical equipment,Russian Federation,55.8,55.8,56.9,56.9,50.9,50.9,46.6,46.6,9.9,9.9,7.9,7.9,3.9,3.9,1.7,1.7,58.8,58.8,,
80,81,27,manufacture of electrical equipment,United Arab Emirates,300,364.8,39.3,,4,20.5,28.5,17.1,14.3,6.4,88.8,88.8,246.3,227.4,229,208.3,145.8,143.4,104.1,112.7
81,82,28,manufacture of machinery and equipment  n.e.c.,Germany,,,,,,,,,,,,,,,,,,,1990.5,
82,83,28,manufacture of machinery and equipment  n.e.c.,Russian Federation,67.8,67.8,47.1,47.1,108.5,108.5,79.1,79.1,55,55,24.3,24.3,205.2,205.2,37.2,37.2,612.7,612.7,,
83,84,32,other manufacturing,Belgium,14.3,,53.5,1.6,23.2,4,53.3,3.8,38.5,18,34.4,11.5,11.6,7.4,2,1.5,15.1,5.9,3.8,3.8
84,85,32,other manufacturing,India,,,,,,,,,,,,,,,,,,,551,551
85,86,32,other manufacturing,Russian Federation,48.8,,26.7,,343.9,,2.5,3.6,67.6,65,246,234.2,81.2,79.7,230.8,232.1,591,592.9,0.3,0.3
86,87,32,other manufacturing,Other countries,,,,,,,,,,,,,,,,,,,27299.1,
87,88,33,repair and installation of machinery and equipment,Russian Federation,,,,,,,,,,,,,,,,,110.4,,,
88,89,33,repair and installation of machinery and equipment,Other countries,,,,,,,,,,,,,,,,,,,235.7,
89,90,35,"electricity, gas, steam and conditioning supply",International organizations,,,,,,,,,,,,,,,175.5,,11149.1,,6512.6,
90,91,35,"electricity, gas, steam and conditioning supply",Cyprus,,,465.9,465.9,1942.1,1942.1,491.7,491.7,,,,,,,41749,5036.7,10064.5,10064.5,7933.2,1199.6
91,92,35,"electricity, gas, steam and conditioning supply",Czech Republic,,,,,,,,,,,13.2,13.2,204.1,204.1,260.9,74.2,83.5,83.5,2.2,2.2
92,93,35,"electricity, gas, steam and conditioning supply",Denmark,0.3,0.3,,,,,,,,,,,,,,,,,,
93,94,35,"electricity, gas, steam and conditioning supply",Finland,13835.2,211.3,334.4,,167.4,,1723.8,162.7,4245.5,2566.4,1063.4,1947.8,,,,,,,,
94,95,35,"electricity, gas, steam and conditioning supply",France,,,,,,,,,,,,,,,,,,,308.9,308.9
95,96,35,"electricity, gas, steam and conditioning supply",Germany,,,,,,,,,443.2,297.4,25494.1,8977.3,12195.4,4219.4,9280.2,5435.8,6379,5553.4,1949.6,159.7
96,97,35,"electricity, gas, steam and conditioning supply","Iran,Islamic Republic of",,,,,,,,,,,,,,,14544.5,,2873.8,,523.3,
97,98,35,"electricity, gas, steam and conditioning supply",Italy,,,,,,,,,664.7,446.1,38241.1,13465.9,18293.1,6329,13920.3,8153.7,9568.6,8330,230.4,239.5
98,99,35,"electricity, gas, steam and conditioning supply",Japan,,,,,,,,,,,,,,,1872,,6545.3,,1917.1,
99,100,35,"electricity, gas, steam and conditioning supply",Luxembourg,,,27308.1,27308.1,47142.2,10390.1,1296.9,23611,893.8,1652.1,3516,4.3,7046.8,4947.7,3202.5,1563.4,4616.9,1085.4,708.5,730.2
100,101,35,"electricity, gas, steam and conditioning supply",Netherlands,,,,,,,,,,,,,,,,,,,1542.2,
101,102,35,"electricity, gas, steam and conditioning supply",Norway,0.2,0.2,,,,,,,,,,,,,,,,,,
102,103,35,"electricity, gas, steam and conditioning supply",Philippines,,,,,,,,,,,,,,,,,,,7835.6,
103,104,35,"electricity, gas, steam and conditioning supply",Russian Federation,15691.9,34884.6,12646.9,22470.2,20201.8,10738.5,13908.6,15607,32939.4,51342.8,88395.4,17968.9,35251.2,12027.3,53141.4,10907.1,27194.5,27027.2,2891.8,24262.8
104,105,35,"electricity, gas, steam and conditioning supply",United Kingdom,,,,,,,,,,,,,,,,,,,12361.6,
105,106,35,"electricity, gas, steam and conditioning supply",United States,,,6699.5,6699.5,11650,2461.9,266.9,177.9,,,,,,,224.2,,,,7273,
106,107,35,"electricity, gas, steam and conditioning supply",Other countries,,,,,,,,,,,,,,,,,,,3429.8,
107,108,36,"water collection, treament and supply",France,305.9,305.9,1739.4,1739.4,2827.7,2827.7,4953,4953,6155.6,6155.6,2615.5,2615.5,2037.3,2037.3,2104.5,2104.5,3496.9,3496.9,5070.4,5070.4
108,109,41,construction of buildings,Argentina,1630.4,1630.4,,,6650.8,,52.1,,,,,,,,,,,,,
109,110,41,construction of buildings,"Virgin Islands, British",21859.6,,26106.4,,2395.3,,1678.9,,455.2,349,98.5,21.9,,,2.6,,1.1,,4431.3,4422.2
110,111,41,construction of buildings,Russian Federation,223.6,643.4,484.9,292.8,,,,,44.1,44.1,41.1,41.1,1.2,1.2,32.2,32.2,,,10.3,10.3
111,112,41,construction of buildings,Switzerland,4216.5,4216.5,,,,,61.1,61.1,178.3,178.3,386.7,386.7,125.4,125.4,11.5,11.5,158.8,158.8,1386.8,1386.8
112,113,41,construction of buildings,United States,11,11,506.2,506.2,,,28.5,28.5,1691.4,1691.4,378.3,378.3,809.7,809.7,1020.8,1020.8,743.3,743.3,1016.2,1016.2
113,114,42,civil engineering,Italy,,,,,361.3,225.2,211.3,222.7,743.2,667.3,799.9,804.2,529.4,359.9,6936.7,6682.6,33.2,57.5,668.2,668.2
114,115,45,wholesale and retail trade and repair of motor vehicles and motorcycles,Russian Federation,77.3,77.3,69.1,69.1,,,0.1,0.1,7,7,,,,,,,,,,
115,116,45,wholesale and retail trade and repair of motor vehicles and motorcycles,Uzbekistan,8.6,8.6,7.7,7.7,,,0,0,0.8,0.8,,,,,,,,,,
116,117,46,"wholesale, trade, except of motor vehicles and motorcycles",International organizations,,,,,,,,,,,,,,,,,,,3847.4,507.6
117,118,46,"wholesale, trade, except of motor vehicles and motorcycles",Austria,,,,,,,,,,,219.6,219.6,67,67,106.6,106.6,652.7,652.7,2206.2,2206.2
118,119,46,"wholesale, trade, except of motor vehicles and motorcycles","Virgin Islands, British",,,,,,,,,,,569.6,287.6,932.2,250.2,85.6,665.8,734.6,2209.3,,
119,120,46,"wholesale, trade, except of motor vehicles and motorcycles",Belarus,24,1.2,23.4,0.6,0.7,0.7,192.3,2.6,101.1,0.1,,,1.7,1.7,6.9,6.9,1.2,1.2,,
120,121,46,"wholesale, trade, except of motor vehicles and motorcycles",Cyprus,372.3,281.1,59.8,69.8,34.2,365.9,92.1,47.7,130.1,153.4,162.9,171.5,26.7,46.9,44.7,15.6,69.9,34.7,41.9,41.9
121,122,46,"wholesale, trade, except of motor vehicles and motorcycles",France,,,,,,,,,,,,,,,,,,,1055.6,
122,123,46,"wholesale, trade, except of motor vehicles and motorcycles",Georgia,,,,,,,,,,,48.9,7.8,192.1,3.4,23.8,23.8,3620.5,918.2,847.2,847.2
123,124,46,"wholesale, trade, except of motor vehicles and motorcycles",Germany,,,,,,,,,,,,,,,,,,,1.4,
124,125,46,"wholesale, trade, except of motor vehicles and motorcycles",Hungary,274,18.1,820.5,37.8,64.6,19.3,1671.4,1613.2,195.6,5.3,491.3,14.3,160.7,71.6,232.9,196.4,7.6,291.8,72.3,71.3
125,126,46,"wholesale, trade, except of motor vehicles and motorcycles",Italy,,,,,,,,,,,,,,,,,,,646,
126,127,46,"wholesale, trade, except of motor vehicles and motorcycles",Netherlands,80,71.8,47.1,66.5,10,,62.2,62.2,2.3,2.3,8,8,6.2,6.2,,,,,1701.6,
127,128,46,"wholesale, trade, except of motor vehicles and motorcycles",Russian Federation,825.8,,2530.6,,679.9,1539.2,2131.7,2657,4685.4,3827.6,2471.8,2807.3,6127.1,4419.1,3551.9,5743.7,3642.8,149,8.6,8.6
128,129,46,"wholesale, trade, except of motor vehicles and motorcycles",Sweden,,,,,,,,,,,,,,,,,,,1376.9,
129,130,46,"wholesale, trade, except of motor vehicles and motorcycles",Switzerland,724.7,724.7,893.4,1162.5,247.1,22.7,295.1,219,117.4,89.6,1541.3,1565.5,617.8,722.7,61.1,46.9,1280.2,1288,1054.1,1054.1
130,131,46,"wholesale, trade, except of motor vehicles and motorcycles",United Kingdom,,,,,,,,,,,,,,,,,,,1,
131,132,46,"wholesale, trade, except of motor vehicles and motorcycles",United States,30.8,30.8,30.8,30.8,,,,,,,143.1,143.1,98.7,98.7,3.2,3.2,23.1,23.1,50.4,50.4
132,133,46,"wholesale, trade, except of motor vehicles and motorcycles",Other countries,,,,,,,,,,,,,,,,,,,918.3,
133,134,47,"retail trade, except of motor vehicles and motorcycles","Virgin Islands, British",,,,,,,,,1486.6,627.5,2090.2,0.1,,,,,,,1099,
134,135,47,"retail trade, except of motor vehicles and motorcycles",Cayman Islands,,,1700.3,,268,,617.8,,728.2,,,,,,,,863.1,863.1,,
135,136,47,"retail trade, except of motor vehicles and motorcycles",Cyprus,16.4,,101.8,,5.8,,5.5,,15,,11.4,,1.5,,30,24,3.8,0.3,8.2,8.2
136,137,47,"retail trade, except of motor vehicles and motorcycles",France,0.7,0.7,,,1.1,1.1,,,,,,,,,,,,,3.1,
137,138,47,"retail trade, except of motor vehicles and motorcycles",Georgia,,,,,,,,,,,,,,,,,,,182,
138,139,47,"retail trade, except of motor vehicles and motorcycles",Netherlands,13.3,13.3,,,2.2,2.2,7,7,5.3,5.3,,,1.3,1.3,,,,,,
139,140,47,"retail trade, except of motor vehicles and motorcycles",Russian Federation,60,60,507.1,41,810.6,179.3,246.1,246.1,50.1,50.1,165.5,165.5,7.4,7.4,17.3,17.3,156.4,156.4,,
140,141,47,"retail trade, except of motor vehicles and motorcycles",Switzerland,,,335.8,47.7,115.2,115.6,28.2,4.5,27.2,10.5,,,,,,,,,2879.3,2654.2
141,142,47,"retail trade, except of motor vehicles and motorcycles",United Arab Emirates,,,12164.2,,1857.5,,463.8,463.8,581.3,581.3,703.9,703.9,320.7,320.7,144.8,144.8,26.1,26.1,249.5,249.5
142,143,47,"retail trade, except of motor vehicles and motorcycles",United Kingdom,,,,,,,,,,,,,443.7,,934,,106.5,0.9,4271,1.4
143,144,47,"retail trade, except of motor vehicles and motorcycles",United States,36.3,,4.6,,13.5,,22.1,,,,4.4,,,,,,,,,
144,145,47,"retail trade, except of motor vehicles and motorcycles",Other countries,,,,,,,,,,,,,,,,,,,3727.4,
145,146,49,land transport and via pipelines,International organizations,,,,,,,,,,,,,,,5044.3,,247.3,,9091.3,
146,147,49,land transport and via pipelines,Georgia,,,,,,,,,,,,,0.7,,2.8,,,,,
147,148,49,land transport and via pipelines,"Iran,Islamic Republic of",,,,,,,,,,,,,,,19.4,19.4,11.9,11.9,2.1,2.1
148,149,49,land transport and via pipelines,Russian Federation,1043.5,864,297.6,13,1233.1,591.5,771.1,183.7,930.2,551.3,1636.5,1114.2,1793.3,1865.7,8477.4,1266.5,3202,2304.5,798.6,430.6
149,150,49,land transport and via pipelines,Other countries,,,,,,,,,,,,,,,,,,,101,
150,151,51,air transport,Argentina,15740.7,97.7,34550.3,,7766.8,,7462.1,,11362.1,,281.6,7978.4,15335.1,10761.6,20131.3,20166.2,10519.4,15287.2,,
