,index,code,type_of_activity,country,2014_total,2014_direct,2015_total,2015_direct,2016_total,2016_direct,2017_total,2017_direct,2018_total,2018_direct,2019_total,2019_direct,2020_total,2020_direct,2021_total,2021_direct,2022_total,2022_direct,2023_totoal,2023_direct
191,192,63,information  service activities,Ireland,421.2,,30.2,,12.3,,,,,,,,,,,,,,,
192,193,64,"financial service activities, except insurance and pension funding",Belize,22,22,750.2,750.2,108.8,108.8,327.3,327.3,431.5,431.5,296.3,296.3,0.7,0.7,26.1,26.1,257.1,257.1,113.5,113.5
193,194,64,"financial service activities, except insurance and pension funding",Greece,,,,,0.3,0.3,,,,,,,,,,,,,,
194,195,64,"financial service activities, except insurance and pension funding",Russian Federation,,,10.8,10.8,10.6,10.6,39.1,39.1,119.4,119.4,43.5,43.5,0.1,0.1,7.8,7.8,41.8,41.8,19.7,19.7
195,196,64,"financial service activities, except insurance and pension funding",United Arab Emirates,,,,,,,,,,,,,,,,,,,101904.6,101904.6
196,197,66,activities auxiliary to financial services and insurance activities,Russian Federation,26.6,26.6,,,,,,,,,129.3,129.3,,,14,14,9.3,9.3,156.6,156.6
197,198,66,activities auxiliary to financial services and insurance activities,United States,46.7,46.7,109.5,109.5,48.3,48.3,,,,,,,,,,,,,,
198,199,68,real estate activities,"Virgin Islands, British",,,,,,,,,,,,,,,,,267,267,,
199,200,68,real estate activities,Cyprus,,,,,,,635.3,5.5,144.3,,33.6,,453.4,,195.4,,158.3,,147.2,
200,201,68,real estate activities,Italy,,,,,,,578.9,578.9,124.9,124.9,164.2,164.2,48.4,48.4,2253.7,2253.7,868.5,868.5,,
201,202,68,real estate activities,Panama,,,,,,,1255.4,10.9,280.2,,66.4,,896.1,,92.4,,494.9,,,
202,203,68,real estate activities,Russian Federation,138.4,138.4,632.8,632.8,352.3,352.3,1540.5,1494.4,1629.6,476.6,7685.6,362.9,515.7,502.8,3157.1,2082.5,48335.5,16044.9,191.2,1070
203,204,68,real estate activities,Other countries,10810.1,10810.1,5741.4,5741.4,8710.7,8710.7,7634.2,7634.2,13224.5,13224.5,8999,8999,10098.2,10098.2,12295.5,12295.5,15427.7,15427.7,6263.3,6263.3
204,205,69,legal and accounting activities,Canada,,,,,,,,,,,,,,,,,,,0.3,
205,206,69,legal and accounting activities,China,,,,,,,,,,,,,,,,,,,1.1,
206,207,69,legal and accounting activities,Cyprus,1.4,,0.9,,0.4,,9.6,,3.7,,8.4,,12.4,,50.8,,202.7,,8.2,
207,208,69,legal and accounting activities,Kazakhstan,,,,,,,,,,,,,,,,,74.3,,476.4,476.4
208,209,69,legal and accounting activities,Liechtenstein,,,,,,,,,,,,,,,,,,,0.5,
209,210,69,legal and accounting activities,Netherlands,,,,,,,2,2,25.5,25.5,16,16,13.8,13.8,43.7,43.7,18.2,18.2,21,15.4
210,211,69,legal and accounting activities,Russian Federation,78.7,122.9,78.9,3.4,4.3,10.7,8,2,33.1,22.9,49.8,18,21.7,15.6,49.2,49.2,108,20.5,1,16.3
211,212,69,legal and accounting activities,United States,,,,,,,,,,,,,,,,,,,0.1,
212,213,69,legal and accounting activities,Other countries,,,,,,,,,,,,,,,,,,,7.2,
213,214,70,activities of head offices: management consultancy activities,Italy,,,,,375.8,92.9,7.1,5.7,8.7,,,,,,,,,,,
214,215,70,activities of head offices: management consultancy activities,Slovenia,10,10,7.6,7.6,5.9,5.9,3.6,3.6,6.4,6.4,2.6,2.6,0.4,0.4,0.3,0.3,0.8,0.8,3.2,3.2
215,216,70,activities of head offices: management consultancy activities,United States,,,,,,,,,,,,,,,20.4,11.8,130.2,130.2,,
216,217,72,scientific research and development,Russian Federation,15,15,125.7,125.7,11.9,11.9,9.1,9.1,380.5,380.5,,,,,316.2,316.2,109.5,109.5,88.2,88.2
217,218,72,scientific research and development,Switzerland,,,,,,,,,,,306.2,147.4,276.6,161.9,205.1,231.6,386.9,347,138.4,138.4
218,219,72,scientific research and development,United States,114.6,114.6,1,1,1.6,1.6,,,953.7,953.7,692.8,692.8,1732.5,1732.5,967.4,967.4,1011.6,1011.6,809.7,809.7
219,220,72,scientific research and development,Other countries,,,,,,,,,,,,,,,,,,,1,
220,221,74,"other professional, scientific and technical activities",Germany,,,,,,,,,,,,,79.1,79.1,88.6,88.6,23.3,23.3,,
221,222,74,"other professional, scientific and technical activities",Russian Federation,296.3,226.8,2.5,2.5,,,,,,,,,,,,,,,,
222,223,77,Rental and leasing activities,Czech Republic,,,,,,,,,,,,,,,67.1,67.1,2.8,2.8,24.1,24.1
223,224,77,Rental and leasing activities,Italy,,,,,746.1,582.3,65.6,66.5,19.2,,4.7,4.7,20.5,16.1,0.5,0.5,10.1,4.3,34.6,34.6
224,225,79,"travel agency, tour operator and other rezervation service and related activities",France,0.1,0.1,10.1,10.1,,,13.6,13.6,,,7,7,,,,,31.1,31.1,63.5,63.5
225,226,81,services to buildings and landscape activities,Lebanon,30.7,30.7,1180,1180,860.4,860.4,548.3,548.3,1307.7,1307.7,218.6,218.6,,,,,,,,
226,227,86,human health activities,Austria,,,,,,,,,,,,,,,63.4,,,,110.8,
227,228,92,gambling and betting activities,Russian Federation,,,135.4,135.4,,,,,,,,,,,,,,,,
228,229,92,gambling and betting activities,Other countries,,,,,,,,,,,,,,,,,,,8205.1,
229,230,93,sports activities and amusement and recreation activities,Russian Federation,451,394.2,205.5,216.4,17.1,,15.1,5.2,86.6,30.3,13.2,13.2,428.4,428.4,98.8,98.8,83.3,83.3,309.8,309.8
230,231,93,sports activities and amusement and recreation activities,United Kingdom,743,324.5,511,,244.2,,514.2,,73,,,,,,,,,,,
231,232,94,activities of membership organisations,United States,,,5,5,14,14,13.9,13.9,1.9,1.9,2.2,2.2,2.3,2.3,,,,,,
232,233,96,other personal service activities,Russian Federation,,,,,,,,,36.5,42.2,43.3,35.5,65.7,37.6,96.3,78.5,43.5,24.9,790.5,790.5
233,234,96,other personal service activities,Other countries,,,,,,,,,,,,,,,,,,,31.7,
